"","DO.Disease.ID","DO.Disease.Name","OMIM.IDs","Mouse.MGI.ID"
"1","DOID:0112248","17-beta hydroxysteroid dehydrogenase 3 deficiency","OMIM:264300","MGI:107177"
"2","DOID:0111453","2-aminoadipic 2-oxoadipic aciduria","OMIM:204750","MGI:2445096"
"3","DOID:0110004","3-methylglutaconic aciduria type 3","OMIM:258501","MGI:2686271"
"4","DOID:0110001","3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome","OMIM:614739","MGI:2447813"
"5","DOID:14221","abdominal obesity-metabolic syndrome 1","OMIM:605552","MGI:3622477"
"6","DOID:14221","abdominal obesity-metabolic syndrome 1","OMIM:605552","MGI:104663"
"7","DOID:14221","abdominal obesity-metabolic syndrome 1","OMIM:605552","MGI:1926609"
"8","DOID:14221","abdominal obesity-metabolic syndrome 1","OMIM:605552","MGI:5828147"
"9","DOID:0050711","aceruloplasminemia","OMIM:604290","MGI:88476"
"10","DOID:9164","achalasia","OMIM:200400","MGI:96794"
"11","DOID:9164","achalasia","OMIM:200400","MGI:97360"
"12","DOID:9164","achalasia","OMIM:200400","MGI:1345138"
"13","DOID:0050603","acheiropody","OMIM:200500","MGI:1861746"
"14","DOID:0080054","achondrogenesis type IA","OMIM:200600","MGI:1924393"
"15","DOID:0080056","achondrogenesis type II","OMIM:200610","MGI:88452"
"16","DOID:4480","achondroplasia","OMIM:100800","MGI:2150019"
"17","DOID:4480","achondroplasia","OMIM:100800","MGI:2181550"
"18","DOID:4480","achondroplasia","OMIM:100800","MGI:97800"
"19","DOID:4480","achondroplasia","OMIM:100800","MGI:99602"
"20","DOID:4480","achondroplasia","OMIM:100800","MGI:95524"
"21","DOID:4480","achondroplasia","OMIM:100800","MGI:2388108"
"22","DOID:4480","achondroplasia","OMIM:100800","MGI:97369"
"23","DOID:4480","achondroplasia","OMIM:100800","MGI:97372"
"24","DOID:0110007","achromatopsia 2","OMIM:216900","MGI:1341818"
"25","DOID:0110008","achromatopsia 3","OMIM:262300","MGI:1353562"
"26","DOID:0110010","achromatopsia 4","OMIM:613856","MGI:95779"
"27","DOID:0110009","achromatopsia 7","OMIM:616517","MGI:1926157"
"28","DOID:9250","acrocallosal syndrome","OMIM:200990","MGI:1098239"
"29","DOID:12960","acrocephalosyndactylia","OMIM:101200","MGI:95523"
"30","DOID:0050605","acrodermatitis enteropathica","OMIM:201100","MGI:1919277"
"31","DOID:14669","acrodysostosis","OMIM:101800|OMIM:614613","MGI:104878"
"32","DOID:0080052","acromesomelic dysplasia, Grebe type","OMIM:200700","MGI:95688"
"33","DOID:0080051","acromesomelic dysplasia, Hunter-Thompson type","OMIM:201250","MGI:95688"
"34","DOID:0080050","acromesomelic dysplasia, Maroteaux type","OMIM:602875","MGI:97372"
"35","DOID:7004","ACTH-secreting pituitary adenoma","OMIM:219090","MGI:5805517"
"36","DOID:3890","acute intermittent porphyria","OMIM:176000","MGI:96112"
"37","DOID:12603","acute leukemia","OMIM:308960","MGI:3822839"
"38","DOID:9952","acute lymphoblastic leukemia","OMIM:247640|OMIM:613065","MGI:96995"
"39","DOID:9952","acute lymphoblastic leukemia","OMIM:247640|OMIM:613065","MGI:4889197"
"40","DOID:9952","acute lymphoblastic leukemia","OMIM:247640|OMIM:613065","MGI:102811"
"41","DOID:9952","acute lymphoblastic leukemia","OMIM:247640|OMIM:613065","MGI:99460"
"42","DOID:9952","acute lymphoblastic leukemia","OMIM:247640|OMIM:613065","MGI:5788538"
"43","DOID:9952","acute lymphoblastic leukemia","OMIM:247640|OMIM:613065","MGI:4843438"
"44","DOID:9952","acute lymphoblastic leukemia","OMIM:247640|OMIM:613065","MGI:109583"
"45","DOID:9952","acute lymphoblastic leukemia","OMIM:247640|OMIM:613065","MGI:107940"
"46","DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:99480"
"47","DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:5558102"
"48","DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:2444354"
"49","DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:6315192"
"50","DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:96995"
"51","DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:5548207"
"52","DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:98282"
"53","DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:101785"
"54","DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:2684063"
"55","DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:95559"
"56","DOID:9119","acute myeloid leukemia","OMIM:601626","MGI:1098280"
"57","DOID:0060318","acute promyelocytic leukemia","OMIM:612376","MGI:5306984"
"58","DOID:0060318","acute promyelocytic leukemia","OMIM:612376","MGI:2673324"
"59","DOID:0060227","Adams-Oliver syndrome","OMIM:100300|OMIM:614219|OMIM:615297|OMIM:616028","MGI:1859388"
"60","DOID:0060350","adenine phosphoribosyltransferase deficiency","OMIM:614723","MGI:88061"
"61","DOID:5810","adenosine deaminase deficiency","OMIM:102700","MGI:87916"
"62","DOID:5810","adenosine deaminase deficiency","OMIM:102700","MGI:2683065"
"63","DOID:0080150","adrenocorticotropic hormone deficiency","OMIM:201400","MGI:1891158"
"64","DOID:10588","adrenoleukodystrophy","OMIM:300100","MGI:1349215"
"65","DOID:0110913","adult hypophosphatasia","OMIM:146300","MGI:87983"
"66","DOID:0080093","adult-onset myofibrillar myopathy 2A","OMIM:608810","MGI:88516"
"67","DOID:0080093","adult-onset myofibrillar myopathy 2A","OMIM:608810","MGI:6103871"
"68","DOID:0080093","adult-onset myofibrillar myopathy 2A","OMIM:608810","MGI:5468018"
"69","DOID:0110011","advanced sleep phase syndrome 1","OMIM:604348","MGI:3837441"
"70","DOID:0110011","advanced sleep phase syndrome 1","OMIM:604348","MGI:1195265"
"71","DOID:0110012","advanced sleep phase syndrome 2","OMIM:615224","MGI:3837570"
"72","DOID:0110012","advanced sleep phase syndrome 2","OMIM:615224","MGI:3837571"
"73","DOID:0090003","agenesis of the corpus callosum with peripheral neuropathy","OMIM:218000","MGI:2135960"
"74","DOID:0110014","age related macular degeneration 1","OMIM:603075","MGI:98935"
"75","DOID:0110014","age related macular degeneration 1","OMIM:603075","MGI:3575688"
"76","DOID:0110014","age related macular degeneration 1","OMIM:603075","MGI:88518"
"77","DOID:0110024","age related macular degeneration 12","OMIM:613784","MGI:1333815"
