"","impcParameterOrigId","name","description","parameterId"
"1",17587,"Forelimb grip strength measurement","forelimb_grip_strength_measurement","IMPC_GRS_001_001"
"2",17588,"Forelimb and hindlimb grip strength measurement","forelimb_and_hindlimb_grip_strength_measurement","IMPC_GRS_002_001"
"3",17589,"Body weight","body_weight","IMPC_GRS_003_001"
"4",17590,"General comments about the mouse","general_comments_about_the_mouse","IMPC_GRS_004_001"
"5",17591,"Equipment ID","equipment_name","IMPC_GRS_005_001"
"6",17592,"Equipment manufacturer","equipment_manufacturer","IMPC_GRS_006_001"
"7",17593,"Grid model","grid_model","IMPC_GRS_007_001"
"8",17594,"Forelimb grip strength measurement mean","forelimb_grip_strength_measurement_mean","IMPC_GRS_008_001"
"9",17595,"Forelimb and hindlimb grip strength measurement mean","forelimb_and_hindlimb_grip_strength_measurement_mean","IMPC_GRS_009_001"
"10",17596,"Forelimb grip strength normalised against body weight","forelimb_grip_strength_normalised_against_body_weight","IMPC_GRS_010_001"
"11",17597,"Forelimb and hindlimb grip strength normalised against body weight","forelimb_and_hindlimb_grip_strength_normalised_against_body_weight","IMPC_GRS_011_001"
"12",17598,"Experimenter ID",NA,"IMPC_GRS_012_001"
"13",17599,"Equipment model",NA,"IMPC_GRS_013_001"
"14",17600,"Date equipment last calibrated",NA,"IMPC_GRS_014_001"
"15",27568,"Adrenal gland","adrenal","IMPC_ALZ_001_001"
"16",27569,"Lower Urinary Tract","lower_urinary_tract","IMPC_ALZ_002_001"
"17",27570,"Brain","brain","IMPC_ALZ_003_001"
"18",27571,"Eye","eye","IMPC_ALZ_004_001"
"19",27572,"Heart","heart","IMPC_ALZ_005_001"
"20",27573,"Kidney","kidney","IMPC_ALZ_006_001"
"21",27574,"Liver","liver","IMPC_ALZ_007_001"
"22",27575,"Lymph Node","lymph_node","IMPC_ALZ_008_001"
"23",27576,"Mammary gland","mammary_gland","IMPC_ALZ_009_001"
"24",27577,"Ovary","ovary","IMPC_ALZ_010_001"
"25",27578,"Oviduct","oviduct","IMPC_ALZ_011_001"
"26",27579,"Skin","skin_with_mg","IMPC_ALZ_012_001"
"27",27580,"Stomach","stomach","IMPC_ALZ_013_001"
"28",27581,"Testis","testis_epididymus","IMPC_ALZ_014_001"
"29",27582,"Thymus","thymus","IMPC_ALZ_015_001"
"30",27583,"Trachea","trachea","IMPC_ALZ_016_001"
"31",27584,"Uterus","uterus","IMPC_ALZ_017_001"
"32",27585,"Large Intestine","large_intestine","IMPC_ALZ_018_001"
"33",27586,"Esophagus","esophagus","IMPC_ALZ_019_001"
"34",27587,"Spinal cord","spinal_cord","IMPC_ALZ_020_001"
"35",27588,"Thyroid gland","thyroid","IMPC_ALZ_021_001"
"36",27589,"Pituitary gland","pituitary","IMPC_ALZ_022_001"
"37",27590,"Skeletal Muscle","skeletal_muscle","IMPC_ALZ_023_001"
"38",27591,"Small Intestine","small_intestine","IMPC_ALZ_024_001"
"39",27592,"White Adipose Tissue","white_adipose_tissue","IMPC_ALZ_025_001"
"40",27593,"Lung","lungs","IMPC_ALZ_026_001"
"41",27594,"Aorta","aorta","IMPC_ALZ_027_001"
"42",27595,"Pancreas","pancreas","IMPC_ALZ_028_001"
"43",27596,"Prostate gland","prostate","IMPC_ALZ_029_001"
"44",27597,"Spleen","spleen","IMPC_ALZ_030_001"
"45",27598,"Brainstem","brainstem","IMPC_ALZ_031_001"
"46",27599,"Cartilage tissue","cartilage","IMPC_ALZ_032_001"
"47",27600,"Cerebral Cortex","cerebral_cortex","IMPC_ALZ_033_001"
"48",27601,"Cerebellum","cerebellum","IMPC_ALZ_034_001"
"49",27602,"Hippocampus","hippocampus","IMPC_ALZ_035_001"
"50",27603,"Hypothalamus","hypothalamus","IMPC_ALZ_036_001"
"51",27604,"Olfactory Lobe","olfactory_lobe","IMPC_ALZ_037_001"
"52",27605,"Peripheral Nervous System","peripheral_nervous_system","IMPC_ALZ_038_001"
"53",27606,"Peyers Patch","peyers_patch","IMPC_ALZ_039_001"
"54",27607,"Striatum","straiatum","IMPC_ALZ_040_001"
"55",27608,"Vascular System","vascular_system","IMPC_ALZ_041_001"
"56",27609,"Urinary bladder","urinary bladder","IMPC_ALZ_042_001"
"57",27610,"Bone","bone","IMPC_ALZ_043_001"
"58",27611,"Cecum","cecum","IMPC_ALZ_044_001"
"59",27612,"Colon","colon","IMPC_ALZ_045_001"
"60",27613,"Duodenum","duodenum","IMPC_ALZ_046_001"
"61",27614,"Ileum","ileum","IMPC_ALZ_047_001"
"62",27615,"Jejunum","jejunum","IMPC_ALZ_048_001"
"63",27616,"Gonadal fat pad","adipose_gonad","IMPC_ALZ_049_001"
"64",27617,"Bone  Marrow","bone_marrow","IMPC_ALZ_050_001"
"65",27618,"Vas Deferens","vas_deferens","IMPC_ALZ_051_001"
"66",27619,"Brown adipose tissue","adipose_brown","IMPC_ALZ_052_001"
"67",27620,"Mesenteric adipose tissue","adipose_mesenteric","IMPC_ALZ_053_001"
"68",27621,"Blood","blood_smear","IMPC_ALZ_054_001"
"69",27622,"Diaphragm","diaphragm","IMPC_ALZ_055_001"
"70",27623,"Gall Bladder","gall_bladder","IMPC_ALZ_056_001"
"71",27624,"Harderian Gland","hardarian_gland","IMPC_ALZ_057_001"
"72",27625,"Hindlimb","hind_limb","IMPC_ALZ_058_001"
"73",27626,"Quadriceps","muscle_quad","IMPC_ALZ_059_001"
"74",27627,"Parathyroid gland","parathyroid","IMPC_ALZ_060_001"
"75",27628,"Parotid gland","parotid_gland","IMPC_ALZ_061_001"
"76",27629,"Penis","penis","IMPC_ALZ_062_001"
"77",27630,"Stomach pyloric region","pylorus","IMPC_ALZ_063_001"
"78",27631,"Chest bone","ribcage","IMPC_ALZ_064_001"
"79",27632,"Sciatic nerve","sciatic_nerve_quad","IMPC_ALZ_065_001"
"80",27633,"Cranium","skull","IMPC_ALZ_066_001"
"81",27634,"Sublingual Gland","sublingual_gland","IMPC_ALZ_067_001"
"82",27635,"Submandibular Gland","submandibular_gland","IMPC_ALZ_068_001"
"83",27636,"Tongue","tongue","IMPC_ALZ_069_001"
"84",27637,"Trigeminal V nerve","trigeminal_nerve","IMPC_ALZ_070_001"
"85",27638,"Vagina","vagina","IMPC_ALZ_071_001"
"86",27639,"Vesicular Gland","vesicular_gland","IMPC_ALZ_072_001"
"87",27640,"Mesenteric Lymph Node","mesenteric_lymph_node","IMPC_ALZ_073_001"
"88",27641,"Oral epithelium","oral_epithelia","IMPC_ALZ_074_001"
"89",27642,"LacZ Images Section","lacz_images_section","IMPC_ALZ_075_001"
"90",27643,"LacZ Images Wholemount","lacz_images_wholemount","IMPC_ALZ_076_001"
"91",27644,"Free Ontology","free_ontology","IMPC_ALZ_077_001"
"92",27645,"Free Ontology Annotation reason","free_ontology_annotation_reason","IMPC_ALZ_078_001"
"93",27646,"Free text comment","free_text_comment","IMPC_ALZ_079_001"
"94",27647,"Microscope equipment id","microscope_equipment_id","IMPC_ALZ_080_001"
"95",27648,"Microscope equipment manufacturer","microscope_equipment_manufacturer","IMPC_ALZ_081_001"
"96",27649,"Microscope equipment model","microscope_equipment_model","IMPC_ALZ_082_001"
"97",27650,"Date Microscope last calibrated","date_microscope_last_calibrated","IMPC_ALZ_083_001"
"98",27651,"Detector equipment manufacturer","detector_equipment_manufacturer","IMPC_ALZ_084_001"
"99",27652,"Detector equipment model","detector_equipment_model","IMPC_ALZ_085_001"
"100",27653,"Objective equipment company","objective_equipment_company","IMPC_ALZ_086_001"
"101",27654,"Objective equipment model","objective_equipment_model","IMPC_ALZ_087_001"
"102",27655,"Objective magnification","objective_magnification","IMPC_ALZ_088_001"
"103",27656,"Illumination source manufacturer","illumination_source_manufacturer","IMPC_ALZ_089_001"
"104",27657,"Illumination source model","illumination_source_model","IMPC_ALZ_090_001"
"105",27658,"Sample preparation stain name","sample_preparation_stain_name","IMPC_ALZ_091_001"
"106",27659,"Sample preparation reference impc","sample_preparation_reference_impc","IMPC_ALZ_092_001"
"107",27660,"Bit Depth","bit_depth","IMPC_ALZ_093_001"
"108",27661,"Colorspace","colorspace","IMPC_ALZ_094_001"
"109",27662,"Experimental category","experimental_category","IMPC_ALZ_095_001"
"110",27663,"Orientation","orientation","IMPC_ALZ_096_001"
"111",27664,"Pixels per millimeter before processing","pixels_per_millimeter_before_processing","IMPC_ALZ_097_001"
"112",27665,"Pixels per millimeter after processing","pixels_per_millimeter_after_processing","IMPC_ALZ_098_001"
"113",27666,"Showcase image","showcase_image","IMPC_ALZ_099_001"
"114",27667,"Date of Sacrifice","date_of_sacrifice","IMPC_ALZ_100_001"
"115",27668,"Date of Perfusion","date_of_perfusion","IMPC_ALZ_101_001"
"116",27669,"Epididymis",NA,"IMPC_ALZ_102_001"
"117",27670,"Main olfactory bulb",NA,"IMPC_ALZ_103_001"
"118",27671,"Midbrain",NA,"IMPC_ALZ_104_001"
"119",27672,"Thalamus",NA,"IMPC_ALZ_105_001"
"120",44496,"Alive","alive","IMPC_GEO_001_001"
"121",44497,"Scored","scored","IMPC_GEO_002_001"
"122",44498,"Cardiovascular System","cardiovascular_system","IMPC_GEO_003_001"
"123",44499,"Cardiovascular Development","cardiovascular_development","IMPC_GEO_004_001"
"124",44500,"Heart Development","heart_development","IMPC_GEO_005_001"
"125",44501,"Outflow tract development","outflow_tract_development","IMPC_GEO_006_001"
"126",44502,"Heart Morphology","heart_morphology","IMPC_GEO_008_001"
"127",44503,"Blood Vessel Morphology","blood_vessel_morphology","IMPC_GEO_011_001"
"128",44504,"Developmental Vascular Remodelling","developmental_vascular_remodelling","IMPC_GEO_012_001"
"129",44505,"Craniofacial","craniofacial","IMPC_GEO_013_001"
"130",44506,"Craniofacial Development","craniofacial_development","IMPC_GEO_014_001"
"131",44507,"Head shape","head_shape","IMPC_GEO_015_001"
"132",44508,"Head size","head_size","IMPC_GEO_016_001"
"133",44509,"Embryo Size","embryo_size","IMPC_GEO_019_001"
"134",44510,"Body wall morphology","body_wall_morphology","IMPC_GEO_020_001"
"135",44511,"Hearing/Vestibular/Ear","hearing_vestibular_ear","IMPC_GEO_021_001"
"136",44512,"Ear Morphology","abnormal_ear_morphology","IMPC_GEO_022_001"
"137",44513,"Ear Development","ear_development","IMPC_GEO_023_001"
"138",44514,"Homeostasis/metabolism","homeostasis_metabolism","IMPC_GEO_024_001"
"139",44515,"Integument","integument","IMPC_GEO_027_001"
"140",44516,"Vibrissa Morphology","vibrissa_morphology","IMPC_GEO_028_001"
"141",44517,"Skin Appearance","skin_appearance","IMPC_GEO_029_001"
"142",44518,"Skin Coloration","skin_coloration","IMPC_GEO_030_001"
"143",44519,"Limb Bud Morphology","limb_bud_morphology","IMPC_GEO_031_001"
"144",44520,"Limb Plate Morphology","limb_plate_morphology","IMPC_GEO_032_001"
"145",44521,"Tail Morphology","tail_morphology","IMPC_GEO_033_001"
"146",44522,"Liver/Biliary","liver_biliary","IMPC_GEO_035_001"
"147",44523,"Liver Morphology","liver_morphology","IMPC_GEO_036_001"
