"parameter_id","category"
"JAX_LDT_008_001","Behaviour"
"IMPC_LDT_006_001","Behaviour"
"JAX_LDT_006_001","Behaviour"
"JAX_LDT_005_001","Behaviour"
"IMPC_LDT_008_001","Behaviour"
"IMPC_LDT_007_001","Behaviour"
"JAX_LDT_003_001","Behaviour"
"JAX_LDT_009_001","Behaviour"
"IMPC_ABR_002_001","Brain"
"IMPC_ABR_004_001","Brain"
"IMPC_ABR_008_001","Brain"
"IMPC_ABR_012_001","Brain"
"IMPC_ABR_010_001","Brain"
"IMPC_ABR_006_001","Brain"
"IMPC_ECG_002_001","Cardiovascular"
"IMPC_ECH_007_001","Cardiovascular"
"IMPC_ECH_012_001","Cardiovascular"
"IMPC_ECH_005_001","Cardiovascular"
"IMPC_ECH_009_001","Cardiovascular"
"IMPC_ECH_004_001","Cardiovascular"
"IMPC_ECH_010_001","Cardiovascular"
"IMPC_GRS_009_001","Grip_Strength"
"IMPC_GRS_011_001","Grip_Strength"
"IMPC_GRS_010_001","Grip_Strength"
"UCDIP_GRS_009_001","Grip_Strength"
"KMPCLA_GRS_010_001","Grip_Strength"
"KMPCLA_GRS_011_001","Grip_Strength"
"IMPC_HEM_031_001","Haematology"
"IMPC_HEM_034_001","Haematology"
"IMPC_HEM_032_001","Haematology"
"IMPC_CBC_011_001","Haematology"
"IMPC_HEM_005_001","Haematology"
"IMPC_CBC_014_001","Haematology"
"IMPC_CBC_013_001","Haematology"
"IMPC_CBC_007_001","Haematology"
"IMPC_HEM_029_001","Haematology"
"IMPC_HEM_002_001","Haematology"
"IMPC_HEM_007_001","Haematology"
"IMPC_HEM_003_001","Haematology"
"IMPC_HEM_027_001","Haematology"
"IMPC_CBC_004_001","Haematology"
"IMPC_CBC_016_001","Haematology"
"IMPC_HEM_037_001","Haematology"
"IMPC_CBC_003_001","Haematology"
"IMPC_HEM_035_001","Haematology"
"IMPC_HEM_030_001","Haematology"
"IMPC_CBC_008_001","Haematology"
"IMPC_CBC_009_001","Haematology"
"IMPC_CBC_058_001","Haematology"
"IMPC_HEM_033_001","Haematology"
"IMPC_CBC_017_001","Haematology"
