"parameter_id","category"
"IMPC_GRS_001_001","Grip_Strength"
"IMPC_GRS_002_001","Grip_Strength"
"IMPC_GRS_003_001","Grip_Strength"
"IMPC_GRS_004_001","Grip_Strength"
"IMPC_GRS_005_001","Grip_Strength"
"IMPC_GRS_006_001","Grip_Strength"
"IMPC_GRS_007_001","Grip_Strength"
"IMPC_GRS_008_001","Grip_Strength"
"IMPC_GRS_009_001","Grip_Strength"
"IMPC_GRS_010_001","Grip_Strength"
"IMPC_GRS_011_001","Grip_Strength"
"IMPC_GRS_012_001","Grip_Strength"
"IMPC_GRS_013_001","Grip_Strength"
"IMPC_GRS_014_001","Grip_Strength"
"IMPC_ALZ_001_001","Other"
"IMPC_ALZ_002_001","Other"
"IMPC_ALZ_003_001","Other"
"IMPC_ALZ_004_001","Other"
"IMPC_ALZ_005_001","Other"
"IMPC_ALZ_006_001","Other"
"IMPC_ALZ_007_001","Other"
"IMPC_ALZ_008_001","Other"
"IMPC_ALZ_009_001","Other"
"IMPC_ALZ_010_001","Other"
"IMPC_ALZ_011_001","Other"
"IMPC_ALZ_012_001","Other"
"IMPC_ALZ_013_001","Other"
"IMPC_ALZ_014_001","Other"
"IMPC_ALZ_015_001","Other"
"IMPC_ALZ_016_001","Other"
"IMPC_ALZ_017_001","Other"
"IMPC_ALZ_018_001","Other"
"IMPC_ALZ_019_001","Other"
"IMPC_ALZ_020_001","Other"
"IMPC_ALZ_021_001","Other"
"IMPC_ALZ_022_001","Other"
"IMPC_ALZ_023_001","Other"
"IMPC_ALZ_024_001","Other"
"IMPC_ALZ_025_001","Other"
"IMPC_ALZ_026_001","Other"
"IMPC_ALZ_027_001","Other"
"IMPC_ALZ_028_001","Other"
"IMPC_ALZ_029_001","Other"
"IMPC_ALZ_030_001","Other"
"IMPC_ALZ_031_001","Other"
"IMPC_ALZ_032_001","Other"
"IMPC_ALZ_033_001","Other"
"IMPC_ALZ_034_001","Other"
"IMPC_ALZ_035_001","Other"
"IMPC_ALZ_036_001","Other"
"IMPC_ALZ_037_001","Other"
"IMPC_ALZ_038_001","Other"
"IMPC_ALZ_039_001","Other"
"IMPC_ALZ_040_001","Other"
"IMPC_ALZ_041_001","Other"
"IMPC_ALZ_042_001","Other"
"IMPC_ALZ_043_001","Other"
"IMPC_ALZ_044_001","Other"
"IMPC_ALZ_045_001","Other"
"IMPC_ALZ_046_001","Other"
"IMPC_ALZ_047_001","Other"
"IMPC_ALZ_048_001","Other"
"IMPC_ALZ_049_001","Other"
"IMPC_ALZ_050_001","Other"
"IMPC_ALZ_051_001","Other"
"IMPC_ALZ_052_001","Other"
"IMPC_ALZ_053_001","Other"
"IMPC_ALZ_054_001","Other"
"IMPC_ALZ_055_001","Other"
