"gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name","analysis_id","check_result"
"MGI:1914615","Pudp","C57BL","Early adult","IMPC_ECG_002_001",0.4513477,"HR","0002o22475wdz0a",""
"MGI:105077","Hsd17b1","C57BL","Early adult","JAXLA_CSD_012_001",0.9523933,"Coat - hair distribution - head","0003z1qg41w181b",""
"MGI:1915751","Nsmce2","C57BL","E12.5","IMPC_CSD_016_001",0.5266215,"Coat - hair texture / appearance - abdomen","00071ft4h6133ag",""
"MGI:106014","Nudc","C57BL","Early adult","ESLIM_009_001_702",0.06740547,"Forelimb and hindlimb grip strength measurement mean","0008ah7y1jmp3o3",""
"MGI:1918039","Kynu","C57BL","Middle aged adult","IMPC_HEM_031_001",0.6537828,"Lymphocyte differential count","000j31e8e8dzou7",""
"MGI:1277178","Fam91a1","C57BL","Early adult","IMPC_HEM_034_001",0.8165547,"Monocyte cell count","0011ob72qdn1cdt",""
"MGI:1277178","Fam91a1","C57BL","Early adult","IMPC_HEM_032_001",0.1259852,"Lymphocyte cell count","0012k3spfc7knp7",""
"MGI:87870","Acat1","C57BL","Early adult","IMPC_HWT_008_001",0.1502603,"Heart weight","00172138qr1k078",""
"MGI:1860835","Ak3","C57BL","Early adult","IMPC_CBC_011_001",0.05134219,"Iron","0017l1g4koy3363",""
"MGI:1920136","Yju2","C57BL","E12.5","IMPC_HEM_005_001",0.2595424,"Mean cell volume","00191k39li89101",""
"MGI:1914228","Luc7l","C57BL","Early adult","IMPC_ECH_007_001",0.18222,"LVAWd","001a7jj1abd4zam",""
"MGI:1921850","Mrpl47","C57BL","Early adult","ESLIM_019_001_003",0.7291713,"IgG1","0022ikvzjw06s45",""
"MGI:1918039","Kynu","C57BL","Middle aged adult","IMPC_GEO_069_001",0.5748183,"Delayed embryonic development","0022ri6738yp663",""
"MGI:2442144","Taf5","C57BL","Early adult","M-G-P_013_001_004",0.1322972,"Left Retina Pigmentation","00251dtn1ss74pd",""
"MGI:1923411","Lamp5","C57BL","Early adult","IMPC_ABR_002_001",0.5454702,"Click-evoked ABR threshold","002652e0z1q5skk",""
"MGI:2685483","Gsg1l","C57BL","Late adult","JAX_OFD_021_001",0.7323832,"Number of rears - total","0026k35wusdi94z",""
"MGI:1860835","Ak3","C57BL","Early adult","IMPC_CSD_037_001",0.6605856,"Unexpected behaviors","00280w0v1t2c2k3",""
"MGI:1889272","Cadm1","C57BL","Early adult","M-G-P_007_001_009",9.735089e-07,"Periphery - average Speed","002d397942jqh85",""
"MGI:1889272","Cadm1","C57BL","Early adult","IMPC_CBC_014_001",0.8563864,"Alkaline phosphatase","002x6wm63mz4f6x",""
"MGI:2384902","Rnpep","C57BL","Early adult","IMPC_EYE_066_001",0.1816658,"Left corneal thickness","002y4l4oxlvke0n",""
"MGI:1298224","Pip5k1c","C57BL","E18.5","IMPC_XRY_033_001",0.4857117,"Tibia length","00301zg64uve7o6",""
"MGI:107416","Supt4a","C57BL","Early adult","IMPC_CSD_080_001",0.09647719,"Head bobbing","0030k69y4kxj5n2",""
"MGI:2444612","Klhdc7a","C57BL","Early adult","UCD_OWT_029_001",0.5437172,"Body length","0032mc37neb63f2",""
"MGI:2137600","Rcc1l","C57BL","Early adult","IMPC_EYE_083_001",0.5743644,"Vitreous","0036710g7h9n717",""
"MGI:2442707","Tmem72","C57BL","Early adult","M-G-P_007_001_009",0.7986276,"Periphery - average Speed","003lp82841k8g04",""
"MGI:107277","Fyco1","C57BL","Early adult","IMPC_CBC_014_001",1.016391,"Alkaline phosphatase","003s0b282d5pg53","pvalue out of range 0-1"
"MGI:1914545","Rab3c","C57BL","Early adult","IMPC_EYE_010_001",0.11999,"Iris/Pupil","004795suxwkp099",""
"MGI:1298224","Pip5k1c","C57BL","E12.5","IMPC_ECG_002_001",0.8833491,"HR","004875pgh7b3i69",""
"MGI:1918039","Kynu","C57BL","Early adult","M-G-P_007_001_015",0.1656466,"Number of entries in the center","004cd23yieqeo81",""
"MGI:1916823","Hilpda","C57BL","Early adult","IMPC_CBC_013_001",0.9581788,"Alanine aminotransferase","004hroe129ylh3r",""
"MGI:2150302","Ddhd1","C57BL","Early adult","IMPC_ECH_012_001",0.9102072,"LVPWs","004kh1k859my21b",""
"MGI:87994","Aldoa","C57BL","E9.5","IMPC_GEM_062_001",0.917678,"Craniofacial morphology","004p529hqa540p5",""
"MGI:1926950","Zfp236","C57BL","Early adult","IMPC_ABR_004_001",0.4754046,"6kHz-evoked ABR Threshold","004q6v23mqqz789",""
"MGI:1341157","Sox30","C57BL","Early adult","IMPC_ABR_002_001",0.7633322,"Click-evoked ABR threshold","004wy8lmq996529",""
"MGI:1926950","Zfp236","C57BL","Early adult","IMPC_ECH_005_001",0.2126314,"Fractional Shortening","004x02pjh4uvc50",""
"MGI:1298224","Pip5k1c","C57BL","Early adult","IMPC_EYE_017_001",0.6364851,"Lens Opacity","005205m2av824y6",""
"MGI:96080","Mst1","C57BL","Early adult","IMPC_IMM_054_001",0.3665104,"NK Subsets (Q1)","00539475d1iuap2",""
"MGI:1914228","Luc7l","C57BL","Early adult","IMPC_CBC_007_001",0.6132164,"Albumin","0055s8ppa5zm618",""
"MGI:1917311","Sdr9c7","C57BL","Early adult","IMPC_HEM_029_001",1.242397,"Neutrophil differential count","0056360x51i5h4o","pvalue out of range 0-1"
"MGI:2442144","Taf5","C57BL","Early adult","IMPC_ABR_008_001",0.3230943,"18kHz-evoked ABR Threshold","005mafyl05l8cf1",""
"MGI:2447773","Fam83a","C57BL","Early adult","M-G-P_007_001_015",0.8849539,"Number of entries in the center","005nvzy97rjs172",""
"MGI:1916286","Zg16","C57BL","Early adult","IMPC_HEM_002_001",0.9467735,"Red blood cell count","005s47z82fu9f15",""
"MGI:1889272","Cadm1","129SV","Early adult","IMPC_FEA_015_001",0.393586,"Cue Baseline % Freezing Time","006032s34237s7k",""
"MGI:1277178","Fam91a1","C57BL","Early adult","IMPC_OFD_013_001",0.1813587,"Periphery average speed","00644svdr47a4e7",""
"MGI:88105","Atp1a1","C57BL","Early adult","IMPC_CSD_029_001",0.05427835,"Activity (body position)","0065g1z27qt689o",""
"MGI:2443047","Ttll1","C57BL","Early adult","JAX_PLC_005_001",0.7569602,"Free fatty acids","0066jurg2b8st40",""
"MGI:2685483","Gsg1l","C57BL","Early adult","IMPC_HEM_007_001",0.3918038,"Mean cell hemoglobin concentration","0067dsj88mma6v0",""
"MGI:1341157","Sox30","C57BL","Early adult","HRWLLA_EYE_092_001",0.5809111,"Retina (combined)","00694v02lp59zuh",""
"MGI:1920081","Dhx30","C57BL","E9.5","IMPC_CSD_037_001",0.1573188,"Unexpected behaviors","006wq2l59fc1u47",""
"MGI:1913483","Dmap1","C57BL","E9.5","IMPC_CSD_006_001",0.2817479,"Coat - color - head","0070l2b48678jcy",""
"MGI:1922806","Cfap161","C57BL","Early adult","IMPC_ACS_006_001",0.1774522,"Response amplitude - S","0073w30fw8br80h",""
"MGI:107416","Supt4a","C57BL","E9.5","IMPC_HEM_003_001",0.7527246,"Hemoglobin","00748eo0pe443rt",""
"MGI:1919669","Fam72a","C57BL","Early adult","IMPC_ECH_009_001",0.8919562,"LVPWd","007h2nmpfxi5w68",""
"MGI:1298224","Pip5k1c","C57BL","Early adult","IMPC_GRS_009_001",0.3737305,"Forelimb and hindlimb grip strength measurement mean","007li4bx6564c4i",""
"MGI:1298397","Sncg","C57BL","Middle aged adult","IMPC_IMM_054_001",0.4777927,"NK Subsets (Q1)","007r6a4rjf51gfy",""
"MGI:1920978","Psd","C57BL","Early adult","IMPC_HEM_027_001",0.2218029,"Red blood cell distribution width","007tl035od79097",""
"MGI:2443778","Cfap69","C57BL","Early adult","IMPC_OFD_014_001",0.2410718,"Center distance travelled","007ut2w8f975yux",""
"MGI:1926950","Zfp236","C57BL","E9.5","JAX_LDT_008_001",0.2737704,"Percent time in dark","008014an18y84e7",""
"MGI:2150302","Ddhd1","C57BL","Early adult","ESLIM_008_001_008",0.7240923,"Locomotor activity","0080l7ug8zex7c8",""
"MGI:107416","Supt4a","C57BL","E9.5","IMPC_CBC_004_001",0.8913041,"Urea (Blood Urea Nitrogen - BUN)","0082211q72yzk87",""
"MGI:1926950","Zfp236","C57BL","Middle aged adult","IMPC_CSD_033_001",0.6209299,"Gait","00849s56ql20iqw",""
"MGI:1914738","Calcoco1","C57BL","Middle aged adult","IMPC_GRS_009_001",0.2060872,"Forelimb and hindlimb grip strength measurement mean","00871xab7605568",""
"MGI:1860835","Ak3","C57BL","Early adult","HRWLLA_EYE_092_001",0.8392507,"Retina (combined)","008n58mu62e9b03",""
"MGI:1921850","Mrpl47","C57BL","Early adult","IMPC_IMM_061_001",0.2552909,"T Cells (panel B)","008we761xomhm8j",""
"MGI:1914737","Dhx40","C57BL","Early adult","IMPC_CBC_016_001",0.1152162,"HDL-cholesterol","00907d47ma7gf87",""
"MGI:96080","Mst1","C57BL","Early adult","IMPC_HEM_037_001",0.1270298,"Basophil cell count","0091wl48v1946do",""
"MGI:2442144","Taf5","C57BL","E9.5","IMPC_CSD_016_001",0.4281925,"Coat - hair texture / appearance - abdomen","0096373xlm5261m",""
"MGI:1298224","Pip5k1c","C57BL","Early adult","IMPC_CBC_003_001",0.461464,"Chloride","0099pi1xyubz17j",""
"MGI:96080","Mst1","C57BL","Early adult","IMPC_XRY_033_001",0.9446145,"Tibia length","009ayni6qhj4e02",""
"MGI:87994","Aldoa","C57BL","Early adult","IMPC_GEL_063_001",0.8654569,"Delayed embryonic development","009wf7on6ni8l4v",""
"MGI:99554","Lgals3bp","C57BL","Early adult","IMPC_ECH_007_001",0.2522422,"LVAWd","00a0r63yodsz656",""
"MGI:2685787","Arhgef33","C57BL","Early adult","IMPC_HEM_035_001",0.9968396,"Eosinophil differential count","00af1ryy153141z",""
"MGI:2442144","Taf5","C57BL","Early adult","IMPC_OWT_004_001",0.5605043,"Right kidney weight","00auku8pf42tw0d",""
"MGI:87994","Aldoa","C57BL","E9.5","IMPC_OFD_012_001",0.1754667,"Periphery permanence time","00c4614tgtu2wlm",""
"MGI:1919221","Zswim1","C57BL","Early adult","IMPC_HEM_030_001",0.003744836,"Neutrophil cell count","00ch9oo4ucof6h9",""
"MGI:1915751","Nsmce2","C57BL","E12.5","IMPC_OFD_007_001",0.8214618,"Whole arena resting time","00cj00336s82j8o",""
"MGI:1298397","Sncg","C57BL","Middle aged adult","IMPC_CBC_008_001",0.2566485,"Total bilirubin","00d01jtae30620i",""
"MGI:107416","Supt4a","C57BL","E9.5","IMPC_ABR_012_001",0.875966,"30kHz-evoked ABR Threshold","00d8n18ia4717b1",""
"MGI:1921850","Mrpl47","C57BL","Early adult","IMPC_EYE_083_001",0.5718278,"Vitreous","00des4ecyq0g4t1",""
"MGI:97616","Plcg2","C3H","Early adult","ESLIM_018_001_004",9.55146e-11,"CD25+ percentage of CD4+ T cells","00dt8pk4vo7g7o6",""
"MGI:107416","Supt4a","C57BL","E12.5","JAX_URI_004_001",0.8541925,"Magnesium","00f0j41jo7a504f",""
"MGI:1915751","Nsmce2","C57BL","E9.5","ESLIM_016_001_006",0.6085783,"Mean corpuscular haemoglobin","00g6i79ty35q99g",""
"MGI:1914228","Luc7l","C57BL","Late adult","IMPC_ABR_002_001",0.5854736,"Click-evoked ABR threshold","00gg72t8g542nis",""
"MGI:1914228","Luc7l","C57BL","Middle aged adult","IMPC_GRS_011_001",0.2219669,"Forelimb and hindlimb grip strength normalised against body weight","00gu5y5s33q5r9p",""
"MGI:1341157","Sox30","C57BL","Early adult","IMPC_OFD_012_001",0.8514752,"Periphery permanence time","00gzklfk4409i72",""
"MGI:1914391","Fbxo5","C57BL","Early adult","impc_hwt_008_001",0.05110388,"Heart weight","00h66y0e5q806y9",""
"MGI:95413","Ercc2","C57BL","Early adult","JAX_SLW_006_001",0.4907528,"Sleep bout lengths standard deviation","00hnt99952sd5fh",""
"MGI:95751","Glrb","C57BL","E15.5","JAX_OFD_010_001",0.492683,"Periphery distance travelled","00i6038059t77qb",""
"MGI:1926950","Zfp236","C57BL","Late adult","IMPC_CSD_005_001",0.3398147,"Coat - color - back","00ihv8e0ngece11",""
"MGI:2154278","Ankrd6","C57BL","Early adult","IMPC_CSD_005_001",0.4055661,"Coat - color - back","00ioudd00fk3ur8",""
"MGI:1916286","Zg16","C59BL","Early adult","IMPC_OFD_007_001",0.7675127,"Whole arena resting time","00ix85ns8mnp3n3","mouse_strain invalid value"
"MGI:3609246","Lingo3","C57BL","Early adult","IMPC_CBC_007_001",0.6965702,"Albumin","00j2s08z5qhsc62",""
"MGI:1278344","Nipsnap1","C57BL","Early adult","IMPC_GEL_032_001",0.4214967,"Embryo Size","00j4tkq965a9m8j",""
"MGI:1914738","Calcoco1","C57BL","Middle aged adult","IMPC_ECG_002_001",0.5420714,"HR","00j5w74jukb22u1",""
"MGI:107448","Lyst","C57BL","Early adult","IMPC_OFD_014_001",0.1319514,"Center distance travelled","00j7496f1160w44",""
"MGI:2682639","DDX31","C57BL","E18.5","IMPC_GEL_027_001",0.1480993,"Neural tube closure","00k17h006447729",""
"MGI:1923322","Rnf183","C57BL","Early adult","IMPC_CSD_006_001",0.09919358,"Coat - color - head","00k396t6089o5sf",""
"MGI:3650333","Krtap9-5","C57BL","Early adult","IMPC_FEA_015_001",0.5103968,"Cue Baseline % Freezing Time","00k7z666135rk02",""
"MGI:1918968","Telo2","C57BL","E9.5","IMPC_CBC_009_001",0.3598271,"Calcium","00l9068kc4808zk",""
"MGI:107416","Supt4a","C57BL","E9.5","IMPC_EYE_092_002",0.148861,"Retina (combined)","00l92tw21b8c311",""
"MGI:1298397","Sncg","C57BL","Middle aged adult","IMPC_HEM_034_001",0.3742039,"Monocyte cell count","00lotu1546rv055",""
"MGI:1918968","Telo2","C57BL","Early adult","IMPC_CSD_041_002",0.4980989,"Hindpaw - size","00mimp4148ex70z",""
"MGI:1913483","Dmap1","C57BL","E12.5","ESLIM_007_001_006",0.3616073,"Periphery distance travelled","00mku6428uv9pai",""
"MGI:1858259","Tomm40","C57BL","Early adult","IMPC_OFD_014_001",0.1547217,"Center distance travelled","00n26vht6zl05jd",""
"MGI:107416","Supt4a","C57BL","E12.5","IMPC_OFD_007_001",0.2793581,"Whole arena resting time","00o43694z9if3d7",""
"MGI:1920136","Yju2","C57BL","E9.5","IMPC_OFD_019_001",0.2031786,"Number of center entries","00od8hg73h66162",""
"MGI:1929743","Asb2","C57BL","E12.5","IMPC_CBC_058_001",0.1272187,"Cholesterol ratio","00pwv2d062h44gz",""
"MGI:1858259","Tomm40","C57BL","Early adult","IMPC_GRS_009_001",0.5168501,"Forelimb and hindlimb grip strength measurement mean","00rces77c25ghy6",""
"MGI:1197515","Irx1","C57BL","Early adult","ESLIM_019_001_007",0.9925558,"IgE","00st00f0fji8lq7",""
"MGI:107277","Fyco1","C57BL","Early adult","IMPC_HEM_031_001",0.7354107,"Lymphocyte differential count","00sz58kv4166j37",""
"MGI:2682639","Ddx31","C57BL","Early adult","IMPC_HEM_029_001",0.4005959,"Neutrophil differential count","00tf2bc8r24gx03",""
"MGI:1914228","Luc7l","C57BL","Middle aged adult","IMPC_CSD_010_001",0.1258763,"Coat - color pattern - abdomen","00uf624l286776e",""
"MGI:108404","Apbb3","C57BL","Early adult","JAX_OFD_010_001",0.1539904,"Periphery distance travelled","00uv99himyfm1xa",""
"MGI:96080","Mst1","C57BL","Early adult","IMPC_CSD_033_001",0.8730966,"Gait","00vhe965wx5l2r4",""
"MGI:1920136","Yju2","C57BL","E12.5","IMPC_EYE_016_001",0.651127,"Lens","00wi5g0d0lbg5ue",""
"MGI:1298224","Pip5k1c","C57BL","E12.5","IMPC_HEM_033_001",0.7051705,"Monocyte differential count","00xm0iccz870017",""
"MGI:1298224","Pip5k1c","C57BL","Early adult","IMPC_CBC_017_001",0.3555126,"Triglycerides","00xoo759y4586s3",""
"MGI:1921358","Parn","C57BL","Early adult","IMPC_ABR_004_001",0.1227365,"6kHz-evoked ABR Threshold","00y01e6r426w16v",""
"MGI:1934754","Kars1","C57BL","E12.5","KMPCIP_CSD_005_001",0.3678804,"Coat - color - back","00yi2xi184h4f30",""
"MGI:103032","Scg3","C57BL","Early adult","IMPC_OFD_010_001",0.8047695,"Periphery distance travelled","010186r51wy5yz0",""
"MGI:2442707","Tmem72","C57BL","Middle aged adult","IMPC_GEL_024_001",0.6856846,"Branchial arch morphology","0102q03k56e76xb",""
"MGI:2148801","Afg1l","C57BL","Late adult","IMPC_HEM_019_001",0.7520456,"Mean platelet volume","0106495f5952i31",""
"MGI:107277","Fyco1","C57BL","Early adult","IMPC_CSD_074_001",0.3409938,"Mouth morphology","010726k6rz929cg",""
"MGI:2442707","Tmem72","C57BL","Late adult","IMPC_CSD_077_001",0.181309,"Contact righting","0107e2716e77zmf",""
"MGI:1914738","Calcoco1","C57BL","Early adult","M-G-P_007_001_005",0.7846409,"Whole Arena - average Speed","010958935vt87gi",""
"MGI:2141861","Ap2s1","C57BL","E9.5","IMPC_FEA_015_001",0.7176374,"Cue Baseline % Freezing Time","01133zp359614s9",""
"MGI:1913483","Dmap1","C57BL","Early adult","IMPC_HEM_005_001",0.2327558,"Mean cell volume","0117tc5767y8331",""
"MGI:2443778","Cfap69","C57BL","Early adult","IMPC_ABR_010_001",0.5218819,"24kHz-evoked ABR Threshold","011f832cbd1k9fy",""
"MGI:1929743","Asb2","C57BL","E9.5","IMPC_IMM_056_001",0.5651605,"NK Subsets (Q3)","011g0r6o0g37f3m",""
"MGI:3769724","Tomt","C57BL","Early adult","JAX_OFD_009_001",0.4714771,"Whole arena average speed","011o0u202lor04s",""
"MGI:1918039","Kynu","C57BL","Late adult","IMPC_IMM_054_001",0.5985271,"NK Subsets (Q1)","011z09l61woqi3r",""
"MGI:2682639","Ddx31","C57BL","Early adult","UCDLA_HEM_002_001",0.6681449,"Red blood cell count","0121d14lt4sq641",""
"MGI:1923322","Rnf183","C57BL","Early adult","IMPC_LDT_006_001",0.5851828,"Latency to first transition into dark","0121xapb2xw4tr4",""
"MGI:1889272","Cadm1","C57BL","Early adult","IMPC_EYE_067_001",0.9740838,"Left anterior chamber depth","0123cx02fhp8xhv",""
"MGI:1920978","Psd","C57BL","Early adult","ESLIM_008_001_012",0.3290373,"Tail elevation","01260m60bp602xi",""
"MGI:1298397","Sncg","C57BL","Late adult","IMPC_HEM_035_001",0.2857439,"Eosinophil differential count","0129am35c9o2t0i",""
"MGI:2148801","Afg1l","C57BL","Middle aged adult","IMPC_GRS_009_001",0.427655,"Forelimb and hindlimb grip strength measurement mean","012n1it2lr6l5c4",""
"MGI:2145316","Txndc5","C57BL","Early adult","IMPC_HEM_038_001",0.1562408,"Basophil differential count","0134os11g9qp604",""
"MGI:1914738","Calcoco1","C57BL","Late adult","IMPC_EYE_061_001",0.857856,"Right anterior chamber depth","013686fs8s04r0v",""
"MGI:1919669","Fam72a","C57BL","Early adult","ESLIM_007_001_006",1.26236,"Periphery distance travelled","013860blkc37zbi","pvalue out of range 0-1"
"MGI:95413","Ercc2","C57BL","Early adult","IMPC_XRY_033_001",0.2947046,"Tibia length","013ft2kxlp2bfh1",""
"MGI:2143484","Slc6a15","C57BL","Early adult","IMPC_ABR_010_001",0.8799305,"24kHz-evoked ABR Threshold","013nb75j32xzx8x",""
"MGI:1918039","Kynu","C57BL","Middle aged adult","IMPC_LDT_006_001",0.3419123,"Latency to first transition into dark","013w330fz4y714n",""
"MGI:95751","Glrb","C57BL","e15.5","KMPCLA_CSD_008_001",0.4501828,"Coat - color pattern - back","0140308l5g7hsh0","mouse_life_stage invalid value"
"MGI:1926950","Zfp236","C57BL","Early adult","IMPC_HEM_030_001",0.9864547,"Neutrophil cell count","0142400z24761o2",""
"MGI:1914228","LUC7L","C57BL","Early adult","IMPC_GEL_018_001",0.2109207,"Visceral yolk sac morphology","01466lm231k9k43",""
"MGI:1913483","Dmap1","C57BL","E12.5","ESLIM_007_001_012",0.1344593,"Centre permanence time","0148003t60wp703",""
"MGI:1914391","Fbxo5","C57BL","E9.5","IMPC_HEM_006_001",0.876977,"Mean corpuscular hemoglobin","0148pj9vgz05lhh",""
"MGI:1920081","Dhx30","C57BL","E9.5","IMPC_ABR_002_001",0.5669402,"Click-evoked ABR threshold","014f568006m5o4c",""
"MGI:2154278","Ankrd6","C57BL","Early adult","IMPC_HEM_031_001",0.6822735,"Lymphocyte differential count","014wq6s2knl49yy",""
"MGI:2443047","Ttll1","C57BL","Early adult","IMPC_GEL_027_001",0.7938959,"Neural tube closure","01534x3u7rtfl3z",""
"MGI:88105","Atp1a1","C57BL","Early adult","IMPC_HEM_027_001",0.8777697,"Red blood cell distribution width","0153o80b945ijm8",""
"MGI:1914805","Mgat4d","C57BL","Early adult","JAX_OFD_020_001",0.9028687,"Distance travelled - total","015h5eu0aqioij5",""
"MGI:2682639","Ddx31","C57BL","E9.5","IMPC_HEM_032_001",0.9280013,"Lymphocyte cell count","01626z610x9ez95",""
"MGI:1929743","Asb2","C57BL","E12.5","JAX_OFD_007_001",0.8180598,"Whole arena resting time","016929skvrtcueh",""
"MGI:1923275","Cant1","C57BL","Early adult","IMPC_CSD_037_001",0.842879,"Unexpected behaviors","01856f5y1e6p2af",""
"MGI:1913483","Dmap1","C57BL","E9.5","UCD_OWT_029_001",0.6630084,"Body length","0186191lu4krl13",""
"MGI:1889272","Cadm1","129SV","Early adult","HRWLLA_EYE_092_001",0.2696037,"Retina (combined)","0186y18j2f3t383",""
"MGI:1915751","Nsmce2","C57BL","Early adult","IMPC_GEL_011_001",0.9093271,"Embryo turning","018dtpp72m38z7v",""
"MGI:1921850","Mrpl47","C57BL","E12.5","IMPC_EYE_059_001",0.3478007,"Mean right eye lens density","01903lzt5fkko40",""
"MGI:2137600","Rcc1l","C57BL","Early adult","IMPC_HEM_037_001",0.4783179,"Basophil cell count","019327j13u7w24e",""
"MGI:87994","Aldoa","C57BL","E9.5","IMPC_OFD_022_001",0.09458011,"Percentage center time","0197e3f8o4q4jf8",""
"MGI:1918039","Kynu","C57BL","Late adult","impc_hwt_008_001",0.8273836,"Heart weight","019b25ej58pi4dz",""
"MGI:87870","Acat1","C57BL","Early adult","IMPC_ACS_037_001",0.3186927,"% Pre-pulse inhibition - Global","019jso48296j1xu",""
"MGI:1889272","Cadm1","C57BL","Early adult","IMPC_CSD_015_001",0.982112,"Coat - hair texture / appearance - head","01a7340k78i79x3",""
"MGI:1197515","Irx1","C57BL","E15.5","IMPC_CBC_017_001",0.34543,"Triglycerides","01amorvz23x0274",""
"MGI:1197515","Irx1","C57BL","E15.5","ESLIM_016_001_002",0.46447,"Red blood cell count","01aq4dd60m12xm2",""
"MGI:1915751","Nsmce2","C57BL","E12.5","IMPC_EYE_016_001",0.7947355,"Lens","01b5viv5enlp862",""
"MGI:95751","Glrb","C57BL","E15.5","M-G-P_013_001_003",0.5651267,"Left Retina","01bzc59h62h1q8c",""
"MGI:1197515","Irx1","C57BL","E12.5","IMPC_CSD_015_001",0.5266654,"Coat - hair texture / appearance - head","01c83844gq01c5q",""
"MGI:1197515","Irx1","C57BL","E18.5","IMPC_EYE_017_001",0.7674673,"Lens Opacity","01caf62593763vv",""
"MGI:96654","Kcna1","C57BL","","IMPC_GEL_017_002",0.3207159,"Pale yolk sac","01d7g3j92joi805","mouse_life_stage length error; mouse_life_stage invalid value"
"MGI:1920081","Dhx30","C57BL","E12.5","IMPC_CSD_016_001",0.7641816,"Coat - hair texture / appearance - abdomen","01ds57541906y37",""
"MGI:3650333","Krtap9-5","C57BL","Early adult","IMPC_OFD_013_001",0.85457,"Periphery average speed","01efhk792a4x8f8",""
"MGI:95751","Glrb","C57BL","E15.5","IMPC_OFD_016_001",0.6502978,"Center permanence time","01ehb2owb980kj9",""
