analysis_id,gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,pvalue,parameter_name
0002o22475wdz0a,MGI:1914615,Pudp,C57BL,Early adult,IMPC_ECG_002_001,0.4513477,HR
0003z1qg41w181b,MGI:105077,Hsd17b1,C57BL,Early adult,JAXLA_CSD_012_001,0.9523933,Coat - hair distribution - head
00071ft4h6133ag,MGI:1915751,Nsmce2,C57BL,E12.5,IMPC_CSD_016_001,0.5266215,Coat - hair texture / appearance - abdomen
0008ah7y1jmp3o3,MGI:106014,Nudc,C57BL,Early adult,ESLIM_009_001_702,0.06740547,Forelimb and hindlimb grip strength measurement mean
000j31e8e8dzou7,MGI:1918039,Kynu,C57BL,Middle aged adult,IMPC_HEM_031_001,0.6537828,Lymphocyte differential count
0011ob72qdn1cdt,MGI:1277178,Fam91a1,C57BL,Early adult,IMPC_HEM_034_001,0.8165547,Monocyte cell count
0012k3spfc7knp7,MGI:1277178,Fam91a1,C57BL,Early adult,IMPC_HEM_032_001,0.1259852,Lymphocyte cell count
00172138qr1k078,MGI:87870,Acat1,C57BL,Early adult,IMPC_HWT_008_001,0.1502603,Heart weight
0017l1g4koy3363,MGI:1860835,Ak3,C57BL,Early adult,IMPC_CBC_011_001,0.05134219,Iron
00191k39li89101,MGI:1920136,Yju2,C57BL,E12.5,IMPC_HEM_005_001,0.2595424,Mean cell volume
001a7jj1abd4zam,MGI:1914228,Luc7l,C57BL,Early adult,IMPC_ECH_007_001,0.18222,LVAWd
0022ikvzjw06s45,MGI:1921850,Mrpl47,C57BL,Early adult,ESLIM_019_001_003,0.7291713,IgG1
0022ri6738yp663,MGI:1918039,Kynu,C57BL,Middle aged adult,IMPC_GEO_069_001,0.5748183,Delayed embryonic development
00251dtn1ss74pd,MGI:2442144,Taf5,C57BL,Early adult,M-G-P_013_001_004,0.1322972,Left Retina Pigmentation
002652e0z1q5skk,MGI:1923411,Lamp5,C57BL,Early adult,IMPC_ABR_002_001,0.5454702,Click-evoked ABR threshold
